"Benko Gambit, General",,1599,A57,4/22/17,2139,2140,42.90%,21.80%,35.30%,1.d4 Nf6 2.c4 c5 3.d5 b5
"Benko Gambit, Zaitsev System",,637,A58,3/23/17,2085,2099,32.60%,20.10%,47.30%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3
"Benko Gambit, Zaitsev Variation, Nescafe Frappe Attack",,639,A57,4/20/17,2232,2240,36.90%,16.70%,46.30%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 axb5 6.e4 b4 7.Nb5
"Benoni Defense, Benoni Gambit Accepted",,585,A43,4/7/17,2121,2132,30.30%,25.10%,44.60%,1.d4 c5 2.dxc5
"Benoni Defense, Benoni Gambit, Schlenker Defense",,109,A43,1/30/17,2247,2241,37.60%,30.30%,32.10%,1.d4 c5 2.dxc5 Na6
"Benoni Defense, Benoni-Indian Defense",,1064,A43,4/20/17,2195,2242,28.10%,25.90%,46.00%,1.d4 c5 2.d5 Nf6
"Benoni Defense, Benoni-Indian Defense, Kingside move order",,3825,A43,4/20/17,2355,2312,45.20%,28.20%,26.60%,1.d4 c5 2.d5 Nf6 3.Nf3
"Benoni Defense, Classical Variation, Argentine Counterattack",,457,A75,4/21/17,2323,2351,33.90%,29.80%,36.30%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4 Bg4
"Benoni Defense, Classical Variation, Averbakh-Grivas Attack",,558,A71,4/20/17,2365,2310,47.50%,21.50%,31.00%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Bg5
"Benoni Defense, Classical Variation, Czerniak Defense",,213,A76,3/18/17,2234,2259,38.00%,26.30%,35.70%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8
"Benoni Defense, Classical Variation, Czerniak Defense",,260,A78,3/26/17,2360,2339,36.10%,29.20%,34.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6
"Benoni Defense, Classical Variation, Czerniak Defense",,405,A79,4/22/17,2456,2400,45.20%,28.60%,26.20%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6 11.f3
"Benoni Defense, Classical Variation, Czerniak Defense, Tal Line",,874,A77,4/24/17,2376,2347,43.00%,25.70%,31.20%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2
"Benoni Defense, Classical Variation, Full line",,188,A74,8/31/16,2211,2161,43.60%,21.80%,34.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4
"Benoni Defense, Classical Variation, General",,1751,A70,4/16/17,2274,2242,35.40%,25.40%,39.20%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3
"Benoni Defense, Classical Variation, Main line",,530,A73,3/10/17,2310,2295,37.00%,29.80%,33.20%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O
"Benoni Defense, Classical Variation, New York Variation",,2322,A70,4/12/17,2388,2329,44.10%,32.30%,23.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.h3
"Benoni Defense, Classical Variation, Traditional Variation",,243,A72,11/13/16,2271,2253,34.60%,31.30%,34.20%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2
"Benoni Defense, Czech Benoni Defense",,3697,A56,4/21/17,2261,2309,30.10%,28.20%,41.70%,1.d4 Nf6 2.c4 c5 3.d5 e5
"Benoni Defense, Fianchetto Variation",,2697,A62,4/17/17,2305,2352,31.90%,28.60%,39.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O
"Benoni Defense, Fianchetto Variation, Hastings Defense",,310,A63,4/22/17,2414,2446,35.80%,33.90%,30.30%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7
"Benoni Defense, Fianchetto Variation, Hastings Defense, Main Line",,1550,A64,4/21/17,2358,2359,39.50%,29.40%,31.00%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7 10.Nd2 a6 11.a4 Re8
"Benoni Defense, Four Pawns Attack",,392,A68,1/25/17,2221,2223,44.60%,20.90%,34.40%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O
"Benoni Defense, Four Pawns Attack, Main Line",,1184,A69,3/30/17,2148,2209,29.70%,23.10%,47.10%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O 9.Be2 Re8
"Benoni Defense, Franco-Sicilian Defense",,725,A43,4/20/17,2277,2221,43.90%,28.00%,28.10%,1.d4 c5 2.d5 e6 3.e4
"Benoni Defense, General",,5000,A43,4/24/17,2161,2190,38.90%,26.70%,34.40%,1.d4 c5
"Benoni Defense, Hromodka System",,2299,A57,4/9/17,2216,2267,27.10%,27.90%,45.00%,1.d4 Nf6 2.c4 c5 3.d5 d6
"Benoni Defense, King Pawn lines",,3092,A65,4/21/17,2279,2238,44.30%,22.30%,33.40%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4
"Benoni Defense, King's Indian System",,727,A56,3/31/17,2257,2316,27.00%,29.90%,43.20%,1.d4 Nf6 2.c4 c5 3.d5 e5 4.Nc3 d6 5.e4 g6
"Benoni Defense, Knight's Tour Variation",,1669,A61,4/4/17,2425,2373,47.50%,26.40%,26.10%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Nd2
"Benoni Defense, Mikenas Variation",,218,A66,2/4/17,2320,2258,47.70%,19.30%,33.00%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.e5
"Benoni Defense, Modern Variation",,4954,A56,4/14/17,2260,2293,34.80%,28.90%,36.30%,1.d4 Nf6 2.c4 c5
"Benoni Defense, Modern Variation",,2200,A60,4/20/17,2202,2241,31.50%,23.90%,44.60%,1.d4 Nf6 2.c4 c5 3.d5 e6
"Benoni Defense, Modern Variation, Snake Variation",,804,A60,4/11/17,2275,2320,39.30%,22.10%,38.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 Bd6
"Benoni Defense, Old Benoni Defense, Clarendon Court Variation",,492,A43,4/8/17,2154,2193,30.30%,22.10%,47.60%,1.d4 c5 2.d5 f5
"Benoni Defense, Old Benoni",,1240,A43,4/16/17,2173,2216,27.70%,26.20%,46.00%,1.d4 c5 2.d5 d6
"Benoni Defense, Old Benoni, Pawn Thrust",,1410,A44,4/23/17,2151,2207,31.80%,26.20%,42.00%,1.d4 c5 2.d5 e5
"Benoni Defense, Old Benoni, Russian Variation",,2434,A44,4/16/17,2190,2249,25.50%,24.40%,50.10%,1.d4 c5 2.d5 e5 3.e4 d6
"Benoni Defense, Pawn Storm Variation",,143,A66,3/12/17,2221,2150,55.90%,14.70%,29.40%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4
"Benoni Defense, Taimanov Variation",,2253,A67,4/16/17,2364,2306,49.60%,20.40%,30.00%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Bb5+
"Benoni Defense, Uhlmann Variation",,556,A61,4/3/17,2381,2347,43.40%,26.10%,30.60%,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Bg5
"Benoni Defense, Vulture Defense",,281,A56,1/6/17,2181,2225,32.40%,21.70%,45.90%,1.d4 c5 2.d5 Nf6 3.c4 Ne4
"Benoni Defense, Weenink Variation",,226,A56,1/31/17,2194,2225,37.60%,38.00%,24.30%,1.d4 Nf6 2.c4 c5 3.dxc5 e6
"Bird Opening, Dutch Variation",,7316,A03,4/21/17,2150,2149,39.80%,26.40%,33.80%,1.f4 d5
"Bird Opening, From Gambit",,709,A02,4/3/17,2069,2074,43.00%,18.80%,38.20%,1.f4 e5
"Bird Opening, From Gambit, Lasker Variation",,477,A02,3/3/17,2065,2116,36.90%,19.90%,43.20%,1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5
"Bird Opening, General",,6365,A02,4/22/17,2126,2121,34.00%,24.90%,41.00%,1.f4
"Bird Opening, Lasker Variation",,510,A03,4/11/17,2044,2052,39.00%,25.10%,35.90%,1.f4 d5 2.Nf3 Nf6 3.e3 c5
"Bishop's Opening, Berlin Defense",,3706,C24,4/18/17,2188,2218,27.30%,29.30%,43.40%,1.e4 e5 2.Bc4 Nf6
"Bishop's Opening, Blanel Gambit",,189,C23,5/19/10,2238,2272,31.80%,36.00%,32.30%,1.e4 e5 2.Bc4 Nf6 3.Nc3 Nxe4
"Bishop's Opening, Boden-Kieseritsky Gambit",,305,C27,3/14/17,2215,2154,42.60%,27.20%,30.20%,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Nf3
"Bishop's Opening, Boi Variation",,328,C20,4/11/17,1984,1974,29.00%,21.90%,49.10%,1.e4 e5 2.Bc4 Bc5
"Bishop's Opening, General",,843,C23,3/11/17,2127,2112,47.00%,22.70%,30.40%,1.e4 e5 2.Bc4
"Bishop's Opening, Ponziani Gambit",,172,C24,3/4/17,2106,2013,61.00%,13.40%,25.60%,1.e4 e5 2.Bc4 Nf6 3.d4
"Bishop's Opening, Urusov Gambit",,101,C24,5/19/10,2203,2159,45.50%,21.80%,32.70%,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3
"Bishop's Opening, Urusov Gambit, Keidansky Gambit",,120,C24,1/20/17,2244,2179,43.30%,21.70%,35.00%,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3 Nxe4 5.Qxd4
"Bishop's Opening, Vienna Hybrid",,3093,C28,4/22/17,2253,2221,37.70%,31.30%,31.00%,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3
"Bishop's Opening, Vienna Hybrid, Hromadka Variation",,439,C28,3/11/17,2295,2267,35.80%,35.80%,28.50%,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3 Bb4 5.Ne2
"Bishop's Opening, Vienna Hybrid, Spielmann Attack",,1279,C26,4/22/17,2213,2168,46.60%,23.90%,29.50%,1.e4 e5 2.Bc4 Nf6 3.d3 Bc5 4.Nc3
"Blackmar-Diemer Gambit, Declined, Langeheinecke Defense",,120,D00,4/8/17,2107,2132,38.30%,29.20%,32.50%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e3
"Blackmar-Diemer Gambit, Euwe Defense",,171,D00,2/1/17,1970,2074,31.00%,14.60%,54.40%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 e6
"Blackmar-Diemer Gambit, Netherlands Variation",,107,D00,2/11/17,2245,2265,35.50%,29.90%,34.60%,1.d4 d5 2.e4 dxe4 3.Nc3 f5
"Blackmar-Diemer Gambit, Teichmann Variation",,310,D00,1/30/17,2097,2107,48.70%,14.20%,37.10%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 Bg4
"Blackmar-Diemer Gambit, Vienna Variation",,172,D00,10/2/16,2030,2090,36.60%,16.30%,47.10%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Bf5
"Blackmar-Diemer Gambit, Von Popiel Gambit",,115,D00,8/25/16,2034,2087,30.40%,20.00%,49.60%,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.Bg5
"Blumenfeld Countergambit, Accepted",,575,E10,3/23/17,2292,2330,35.50%,20.90%,43.60%,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.dxe6 fxe6 6.cxb5 d5
"Blumenfeld Countergambit, Dus-Chotimursky Variation",,1050,E10,4/23/17,2393,2356,42.60%,27.70%,29.70%,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5
"Blumenfeld Countergambit, General",,555,E10,4/2/17,2282,2293,44.30%,20.00%,35.70%,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5
"Blumenfeld Countergambit, Spielmann Variation",,169,E10,3/10/17,2328,2374,29.60%,29.00%,41.40%,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5 exd5 6.cxd5 h6
"Bogo-Indian Defense, Exchange Variation",,1639,E11,4/11/17,2234,2283,15.40%,47.50%,37.20%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Bxd2+
"Bogo-Indian Defense, Grünfeld Variation",,7647,E11,4/23/17,2438,2394,42.40%,36.10%,21.50%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2
"Bogo-Indian Defense, Nimzowitsch Variation",,7073,E11,4/24/17,2269,2299,25.70%,40.30%,34.00%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Qe7
"Bogo-Indian Defense, Retreat Variation",,213,E11,2/2/17,2076,2116,29.10%,26.80%,44.10%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Be7
"Bogo-Indian Defense, Vitolinsh Variation",,2230,E11,4/23/17,2338,2377,26.10%,43.10%,30.70%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 c5
"Bogo-Indian Defense, Wade-Smyslov Variation",,2418,E11,4/22/17,2344,2390,29.90%,39.50%,30.60%,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 a5
"Budapest Defense, Adler Variation",,2733,A52,4/22/17,2156,2135,42.90%,26.40%,30.70%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3
"Budapest Defense, Alekhine Variation",,342,A52,4/8/17,2223,2166,52.90%,19.90%,27.20%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4
"Budapest Defense, Alekhine Variation, Abonyi Variation",,294,A52,2/23/17,2195,2211,33.70%,18.00%,48.30%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4 Nxe5 5.f4 Nec6
"Budapest Defense, Fajarowicz Variation",,955,A51,4/10/17,2110,2152,24.40%,25.20%,50.40%,1.d4 Nf6 2.c4 e5 3.dxe5 Ne4
"Budapest Defense, General",,670,A52,4/4/17,2087,2134,24.20%,22.80%,53.00%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4
"Budapest Defense, Rubinstein Variation",,2362,A52,4/20/17,2279,2231,50.10%,29.90%,20.10%,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Bf4
"Caro-Kann Defense, Accelerated Panov Attack",,610,B10,4/17/17,2256,2222,48.50%,24.60%,26.90%,1.e4 c6 2.c4
"Caro-Kann Defense, Accelerated Panov Attack",,891,B10,4/22/17,2058,2090,20.90%,26.00%,53.10%,1.e4 c6 2.c4 d5
"Caro-Kann Defense, Accelerated Panov Attack, Modern Variation",,4415,B10,4/24/17,2271,2297,24.40%,36.10%,39.50%,1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6
"Caro-Kann Defense, Accelerated Panov Attack, Open Variation",,1370,B10,4/21/17,2245,2304,22.40%,33.10%,44.50%,1.e4 c6 2.c4 e5
"Caro-Kann Defense, Advance Variation",,5490,B12,4/21/17,2264,2239,40.70%,29.10%,30.20%,1.e4 c6 2.d4 d5 3.e5
"Caro-Kann Defense, Advance Variation, Bayonet Attack",,673,B12,4/1/17,2046,2049,39.80%,19.80%,40.40%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.g4
"Caro-Kann Defense, Advance Variation, Botvinnik-Carls Defense",,3634,B12,4/23/17,2212,2236,32.40%,26.20%,41.40%,1.e4 c6 2.d4 d5 3.e5 c5
"Caro-Kann Defense, Advance Variation, Bronstein Variation",,635,B12,4/1/17,2215,2170,45.40%,22.40%,32.30%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Ne2
"Caro-Kann Defense, Advance Variation, Short Variation",,7648,B12,4/24/17,2351,2321,41.30%,30.70%,28.00%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nf3
"Caro-Kann Defense, Advance Variation, Tal Variation",,2662,B12,4/23/17,2324,2285,44.90%,26.10%,29.00%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.h4
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack",,2512,B12,4/9/17,2255,2239,40.00%,23.70%,36.30%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack, Bishop Hunt",,698,B12,4/6/17,2288,2267,41.00%,24.20%,34.80%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 e6 5.g4 Bg6 6.Nge2 c5 7.h4
"Caro-Kann Defense, Advance Variation, Van der Wiel Attack, Dreyev Defense",,440,B12,2/17/17,2273,2333,33.90%,23.90%,42.30%,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nc3 Qb6
"Caro-Kann Defense, Breyer Variation",,3754,B10,4/20/17,2283,2253,39.30%,32.00%,28.70%,1.e4 c6 2.d3
"Caro-Kann Defense, Bronstein-Larsen Variation",,3612,B16,4/21/17,2185,2246,28.30%,27.90%,43.80%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Nf6 5.Nxf6+ gxf6
"Caro-Kann Defense, Classical Variation",,6622,B18,4/22/17,2188,2208,30.60%,35.80%,33.60%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5
"Caro-Kann Defense, Classical Variation, Flohr Variation",,991,B18,4/23/17,2349,2320,34.50%,40.50%,25.00%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Nxe4 Bf5 5.Ng3 Bg6 6.Nh3
